iter	Accuracy	MultiClass
0	0.5845524105	1.073256816
1	0.5994871189	1.050759319
2	0.6067633589	1.030792651
3	0.6080768349	1.013231122
4	0.6074166221	0.9982972453
5	0.6078683466	0.984559506
6	0.6081324317	0.9700149783
7	0.6095987991	0.9568464321
8	0.6113501004	0.9451427844
9	0.6133863357	0.9348210917
10	0.6139214555	0.9254145363
11	0.6145469203	0.9170467791
12	0.6149221991	0.9090354051
13	0.6152349315	0.9019682942
14	0.6160271869	0.8954436456
15	0.6173962597	0.8891997137
16	0.6173615117	0.8837049099
17	0.6189946697	0.8789650578
18	0.6191823091	0.8743866124
19	0.6198564211	0.870012
20	0.6210378545	0.8662263601
21	0.6213922845	0.8625704199
22	0.6221984391	0.8592076151
23	0.6218162107	0.8560611912
24	0.6224972723	0.8528948197
25	0.6239775389	0.8497415357
26	0.6240678838	0.8471747006
27	0.6252562668	0.8447261411
28	0.6253327125	0.8423626494
29	0.6258191851	0.8403365066
30	0.6258956308	0.8381994391
31	0.6267504326	0.8366664443
32	0.6268477271	0.83476388
33	0.6273689478	0.8329351236
34	0.6274314942	0.8316171859
35	0.6276677809	0.8301601154
36	0.6278206723	0.8285356052
37	0.6280708582	0.827159507
38	0.6282584976	0.8259740281
39	0.628856164	0.8247026529
40	0.629050753	0.823329685
41	0.6291827955	0.822207607
42	0.6292939893	0.8211348417
43	0.6296623185	0.8200168339
44	0.6296414697	0.8192104845
45	0.6297318146	0.8185054778
46	0.6301418415	0.8176301518
47	0.6301626903	0.8167809463
48	0.6301626903	0.8158857805
49	0.6305310196	0.8153314939
50	0.6308229031	0.8146144873
51	0.6309966433	0.8137715181
52	0.6311495347	0.8131912263
53	0.6313649726	0.8125539628
54	0.6313510734	0.8118384265
55	0.632032135	0.8105368825
56	0.632032135	0.8099219371
57	0.6325394564	0.8087999462
58	0.6325186076	0.8082961226
59	0.6323796154	0.8078853185
60	0.6326923478	0.8073805708
61	0.633060677	0.8064148317
62	0.633505452	0.8052319353
63	0.6338042851	0.804570801
64	0.6341309167	0.8034627691
65	0.6346451877	0.8029705786
66	0.6347355327	0.8024979162
67	0.6351108115	0.801795189
68	0.6352706525	0.8011664797
69	0.6354513423	0.8007834047
70	0.6356598306	0.8002256543
71	0.6357710243	0.7997632587
72	0.6360768071	0.7989841021
73	0.6361602024	0.7987022067
74	0.6363825898	0.7980846811
75	0.6364451363	0.7978366607
76	0.6369524577	0.796946018
77	0.6372860389	0.7962438742
78	0.6376126705	0.7955034037
79	0.6375918217	0.7950135789
80	0.6380574455	0.7941801619
81	0.6378767556	0.7938598205
82	0.6380157478	0.7935102045
83	0.6382589841	0.7928622703
84	0.6386273134	0.7920499916
85	0.6388010536	0.791810646
86	0.6389122473	0.7914538898
87	0.6392875261	0.790513379
88	0.6394404175	0.790183874
89	0.6395585609	0.7898630387
90	0.639628057	0.7895701664
91	0.6396558554	0.7893312026
92	0.6397531499	0.7891019867
93	0.6400241846	0.7884730064
94	0.6401979248	0.78807816
95	0.6402813201	0.7877958115
96	0.6405662541	0.7876043669
97	0.6405384557	0.7872228659
98	0.6405662541	0.7870537522
99	0.6407191455	0.7868258699
100	0.6408720369	0.786509119
101	0.6407747423	0.7862529332
102	0.6409693314	0.7858135956
103	0.6410527267	0.785594616
104	0.6410805251	0.7854105599
105	0.6410944243	0.785194735
106	0.6413098622	0.7848730214
107	0.6414697032	0.7846058276
108	0.641775486	0.7841940568
109	0.6418797301	0.7837947195
110	0.642289757	0.7831235162
111	0.6423453538	0.7829768518
112	0.6424982452	0.782669438
113	0.6425468925	0.7824911054
114	0.6426928343	0.7822729083
115	0.6428874233	0.7816406568
116	0.6429916674	0.7813766387
117	0.643158458	0.7812620559
118	0.6433043998	0.7808871143
119	0.6432071053	0.7807037471
120	0.6433043998	0.7805503824
121	0.6434086439	0.7803896977
122	0.6434572912	0.7802607498
123	0.6435545857	0.7800683328
124	0.6436866283	0.7799014868
125	0.643672729	0.77974488
126	0.6440202095	0.7793138076
127	0.6442356473	0.7789296895
128	0.6442286977	0.7783990647
129	0.6442912442	0.778009837
130	0.6446873719	0.7775183852
131	0.6450626507	0.7772360427
132	0.6451251972	0.7770226382
133	0.6450557011	0.7767286441
134	0.6451529956	0.776482189
135	0.6454101311	0.7761858238
136	0.6455491233	0.7759322231
137	0.6456325186	0.7757800801
138	0.6457020147	0.7755829502
139	0.6458410069	0.7753923853
140	0.6458896541	0.7752489732
141	0.6457228635	0.7750820727
142	0.6458549061	0.7749884923
143	0.6460564447	0.7745252724
144	0.64613984	0.7742861565
145	0.6462579834	0.7741856624
146	0.6463483283	0.7740651546
147	0.6464178244	0.7739730024
148	0.6464178244	0.7737872931
149	0.6465012197	0.7735634461
150	0.646584615	0.7734419894
151	0.6466263126	0.7732548079
152	0.6468000528	0.773157127
153	0.6471058356	0.7726696619
154	0.6473004246	0.7723169312
155	0.6474046687	0.7722389873
156	0.6476548546	0.7720254687
157	0.6477243507	0.7719229462
158	0.6477660484	0.7717991941
159	0.6477104515	0.7716903528
160	0.6479258894	0.7715308526
161	0.6478633429	0.7713638853
162	0.6478772421	0.7712425741
163	0.6479884359	0.7708819751
164	0.6481482768	0.7706804312
165	0.6481552265	0.7704561895
166	0.6483289667	0.7703633619
167	0.6482664202	0.7702494772
168	0.6483428659	0.7701917012
169	0.64844711	0.7700907776
170	0.6483011682	0.7698507803
171	0.6482455714	0.7696853692
172	0.64844711	0.7694199283
173	0.6485513541	0.7692785199
174	0.6486000014	0.7691421828
175	0.6486347494	0.7690007802
176	0.6487598424	0.7687720954
177	0.6488779857	0.7686170942
178	0.6488988346	0.7685318158
179	0.6489891795	0.7683841453
180	0.6489683306	0.7681935143
181	0.6494617528	0.7677932431
182	0.6495729466	0.7674731187
183	0.6495520977	0.7672775168
184	0.6496424426	0.7671373415
185	0.6497327876	0.7670555765
186	0.6496980395	0.7668854534
187	0.6499482254	0.7666762125
188	0.6500107719	0.7663890067
189	0.6501636633	0.7662637273
190	0.6504138492	0.7661072394
191	0.6504972445	0.7658094161
192	0.6505458917	0.7656926451
193	0.6506014886	0.7655537605
194	0.6507126823	0.7653870261
195	0.6508864226	0.7652601877
196	0.6508864226	0.7651583785
197	0.6510045659	0.7649739417
198	0.6509420194	0.7649333821
199	0.6512269534	0.764734669
200	0.6512269534	0.7646869309
201	0.6513867944	0.7644552852
202	0.6515257865	0.7643248412
203	0.6515396857	0.7641765253
204	0.6516439299	0.7640546159
205	0.6517203756	0.76394231
206	0.6517412244	0.7638479991
207	0.6517412244	0.7636721747
208	0.6519358134	0.7634064297
209	0.651908015	0.7632294975
210	0.651942763	0.763116351
211	0.6519288638	0.7629858687
212	0.6521651505	0.7628375892
213	0.652227697	0.7626816076
214	0.6524431348	0.7626013131
215	0.652457034	0.7623857851
216	0.6525195805	0.7622904067
217	0.6525612782	0.7619588066
218	0.6525682278	0.7617644094
219	0.6525890766	0.7615801358
220	0.6527697664	0.7614316591
221	0.6530408012	0.7611890586
222	0.6531102972	0.7611064401
223	0.6531241965	0.7610277136
224	0.6529713051	0.7609184592
225	0.6532353902	0.7607627882
226	0.6532006421	0.7606664225
227	0.6533048863	0.7604789696
228	0.6532909871	0.7603211811
229	0.6533674327	0.7602153094
230	0.65341608	0.7601248123
231	0.6534647273	0.7600580351
232	0.6536871147	0.7598253075
233	0.6537635604	0.7597579415
234	0.6537913589	0.7596562099
235	0.6537774596	0.7595826433
236	0.6538330565	0.7595329656
237	0.6539234014	0.7593856441
238	0.6539373006	0.7592748517
239	0.6540762928	0.7591965164
240	0.6543195291	0.7589878703
241	0.6543264787	0.7588795142
242	0.6543681764	0.7586990891
243	0.654409874	0.7586160835
244	0.6545002189	0.7583556223
245	0.6546531103	0.7581992371
246	0.6547712536	0.75794621
247	0.6548129513	0.7578881574
248	0.6549519435	0.75773359
249	0.6551187341	0.7575994486
250	0.6551465325	0.757417897
251	0.6550770364	0.7573090885
252	0.655083986	0.757193627
253	0.6552299278	0.7570561882
254	0.6552160286	0.756965709
255	0.6553828192	0.7568894866
256	0.6554662145	0.7567794651
257	0.6554523153	0.7566194331
258	0.655598257	0.7564773536
259	0.6555774082	0.7563762856
260	0.6556886019	0.7561820127
261	0.6557372492	0.7560961937
262	0.6557928461	0.7559782062
263	0.655917939	0.7558122309
264	0.6559248886	0.7557573037
265	0.655917939	0.7555716911
266	0.6561403265	0.7554298956
267	0.656202873	0.7553593426
268	0.6562098226	0.7552723468
269	0.6562306714	0.7551466543
270	0.6562515202	0.7550810899
271	0.6563488147	0.7549200538
272	0.656522555	0.7547095598
273	0.65643221	0.7545611518
274	0.6565851014	0.7543373706
275	0.656592051	0.754257458
276	0.6566754463	0.7541924998
277	0.6567796905	0.7540647755
278	0.6567657912	0.7539225837
279	0.6567310432	0.7538009765
280	0.6568561362	0.7536936984
281	0.6569325818	0.7536149312
282	0.6569395315	0.7534938579
283	0.6570507252	0.7532251947
284	0.6572870119	0.7530327219
285	0.6572939615	0.7529424419
286	0.6573426087	0.752853148
287	0.6574190544	0.7527723
288	0.657356508	0.7527067805
289	0.6574399033	0.7526124765
290	0.6574538025	0.7524896967
291	0.6576205931	0.7522988748
292	0.6577526356	0.7521823243
293	0.6578012829	0.75207919
294	0.6578012829	0.7520184867
295	0.6578985774	0.7519160318
296	0.6578151821	0.7518237249
297	0.6578429805	0.7517147729
298	0.6578290813	0.7516259459
299	0.6578360309	0.7515505017
300	0.6578638294	0.7514553792
301	0.65803062	0.7513038921
302	0.6579819727	0.7512311046
303	0.6581001161	0.7511150704
304	0.6582391082	0.7509719033
305	0.6582530074	0.7509108418
306	0.6583642012	0.7508117372
307	0.6584753949	0.7507350508
308	0.658579639	0.7507059369
309	0.6585518406	0.7506002696
310	0.6586213367	0.7504564527
311	0.658544891	0.750378406
312	0.6586421855	0.7502970057
313	0.6586838832	0.7500986605
314	0.6587325304	0.7500334568
315	0.6588228753	0.7499373765
316	0.6588854218	0.7498770184
317	0.6589549179	0.7498065118
318	0.6589062706	0.7496920601
319	0.6588923714	0.7496398162
320	0.6589966155	0.7495641169
321	0.6589549179	0.7495095648
322	0.6591078093	0.7492831551
323	0.6592607007	0.7491489808
324	0.6591425573	0.7490980328
325	0.6592745999	0.7490072441
326	0.6592954487	0.7489138027
327	0.6593510456	0.7488551202
328	0.6594205417	0.7487600138
329	0.6595178362	0.7487101106
330	0.6594900377	0.7486459778
331	0.6596290299	0.7485305673
332	0.659573433	0.7484545664
333	0.6596220803	0.7484040187
334	0.6597819213	0.7482890106
335	0.6598375182	0.7482187247
336	0.6598027701	0.7481625495
337	0.6598861654	0.7480521898
338	0.6598236189	0.7479938091
