iter	Passed	Remaining
0	100	181015
1	218	196083
2	318	190537
3	410	184488
4	520	186943
5	616	184468
6	718	184061
7	813	182202
8	890	177281
9	964	172715
10	1051	170983
11	1128	168084
12	1223	168242
13	1310	167176
14	1402	166925
15	1493	166478
16	1586	166358
17	1660	164424
18	1747	163845
19	1845	164218
20	1920	162674
21	2012	162629
22	2097	162035
23	2199	162732
24	2293	162830
25	2393	163304
26	2495	163857
27	2576	163071
28	2680	163667
29	2766	163220
30	2864	163464
31	2967	163980
32	3063	164044
33	3153	163807
34	3256	164239
35	3352	164273
36	3466	165195
37	3550	164652
38	3648	164758
39	3742	164676
40	3826	164167
41	3921	164144
42	4015	164083
43	4114	164197
44	4211	164239
45	4338	165442
46	4427	165143
47	4514	164794
48	4618	165036
49	4713	164958
50	4810	164980
51	4927	165651
52	5017	165376
53	5109	165221
54	5214	165455
55	5314	165516
56	5444	166485
57	5571	167339
58	5709	168475
59	5814	168611
60	5940	169339
61	6056	169768
62	6175	170266
63	6301	170927
64	6383	170397
65	6502	170827
66	6595	170590
67	6718	171127
68	6823	171179
69	6939	171505
70	7064	172029
71	7164	171957
72	7291	172510
73	7399	172583
74	7525	173079
75	7607	172571
76	7724	172846
77	7822	172697
78	7936	172893
79	8051	173110
80	8158	173134
81	8256	172977
82	8402	173823
83	8543	174533
84	8667	174876
85	8803	175446
86	8948	176191
87	9072	176503
88	9193	176734
89	9326	177206
90	9442	177336
91	9580	177858
92	9686	177799
93	9792	177722
94	9904	177751
95	10007	177636
96	10125	177764
97	10240	177841
98	10338	177634
99	10439	177476
100	10566	177750
101	10669	177607
102	10808	178071
103	10917	178046
104	11037	178176
105	11146	178129
106	11255	178082
107	11379	178276
108	11498	178387
109	11595	178148
110	11707	178147
111	11798	177824
112	11939	178241
113	12042	178109
114	12164	178232
115	12290	178418
116	12406	178462
117	12516	178408
118	12622	178309
119	12747	178459
120	12853	178359
121	12971	178407
122	13076	178281
123	13179	178131
124	13284	178014
125	13426	178384
126	13562	178662
127	13689	178816
128	13801	178777
129	13894	178495
130	13995	178313
131	14120	178433
132	14231	178376
133	14360	178546
134	14492	178742
135	14625	178947
136	14754	179100
137	14875	179148
138	15000	179246
139	15144	179565
140	15280	179788
141	15403	179846
142	15505	179665
143	15583	179214
144	15694	179131
145	15799	178988
146	15904	178839
147	15999	178585
148	16114	178555
149	16219	178411
150	16329	178327
151	16434	178184
152	16532	177971
153	16644	177898
154	16759	177866
155	16856	177642
156	16959	177476
157	17063	177331
158	17166	177170
159	17279	177112
160	17386	176992
161	17487	176820
162	17601	176774
163	17706	176631
164	17817	176557
165	17911	176313
166	18005	176064
167	18117	175998
168	18222	175861
169	18335	175802
170	18442	175691
171	18549	175572
172	18660	175496
173	18770	175409
174	18889	175403
175	18992	175246
176	19086	175013
177	19200	174960
178	19307	174849
179	19411	174706
180	19520	174609
181	19625	174473
182	19726	174304
183	19838	174234
184	19943	174100
185	20036	173866
186	20133	173662
187	20248	173620
188	20358	173530
189	20462	173395
190	20580	173371
191	20700	173363
192	20805	173236
193	20906	173071
194	21010	172931
195	21110	172759
196	21226	172722
197	21341	172673
198	21447	172552
199	21577	172617
200	21669	172385
201	21768	172211
202	21867	172031
203	21974	171919
204	22162	172431
205	22342	172880
206	22474	172953
207	22572	172769
208	22730	173031
209	22881	173247
210	23006	173256
211	23125	173221
212	23266	173354
213	23417	173553
214	23546	173589
215	23705	173843
216	23881	174215
217	24033	174406
218	24145	174312
219	24274	174337
220	24404	174362
221	24534	174390
222	24650	174324
223	24784	174373
224	24912	174385
225	25036	174370
226	25149	174275
227	25272	174245
228	25396	174225
229	25534	174299
230	25648	174207
231	25777	174219
232	25901	174193
233	26039	174262
234	26164	174246
235	26286	174202
236	26402	174125
237	26505	173956
238	26620	173868
239	26722	173693
240	26840	173629
241	26954	173534
242	27058	173376
243	27180	173332
244	27294	173235
245	27415	173183
246	27554	173244
247	27696	173327
248	27869	173596
249	28030	173788
250	28172	173860
251	28314	173931
252	28437	173885
253	28558	173822
254	28664	173673
255	28759	173458
256	28877	173378
257	29008	173377
258	29122	173275
259	29251	173259
260	29356	173099
261	29479	173052
262	29592	172939
263	29713	172879
264	29817	172719
265	29923	172565
266	30048	172526
267	30174	172488
268	30283	172358
269	30458	172600
270	30630	172817
271	30793	172986
272	30917	172931
273	31059	172982
274	31162	172810
275	31305	172860
276	31427	172794
277	31547	172716
278	31665	172625
279	31782	172533
280	31952	172727
281	32134	172978
282	32316	173227
283	32444	173187
284	32551	173035
285	32696	173083
286	32823	173038
287	32963	173056
288	33113	173128
289	33257	173170
290	33399	173195
291	33539	173212
292	33653	173089
293	33799	173136
294	33911	173003
295	34028	172899
296	34144	172793
297	34264	172701
298	34368	172531
299	34492	172462
300	34602	172324
301	34698	172114
302	34813	172001
303	34923	171861
304	35038	171744
305	35150	171615
306	35267	171514
307	35386	171418
308	35500	171297
309	35615	171186
310	35740	171116
311	35866	171054
312	35970	170889
313	36095	170822
314	36203	170674
315	36306	170503
316	36419	170377
317	36537	170278
318	36679	170291
319	36792	170164
320	36919	170105
321	37053	170075
322	37164	169945
323	37276	169814
324	37404	169760
325	37521	169654
326	37640	169553
327	37752	169424
328	37879	169363
329	37995	169253
330	38097	169077
331	38209	168951
332	38314	168789
333	38449	168763
334	38579	168711
335	38702	168633
336	38822	168537
337	38942	168443
338	39073	168394
339	39199	168325
340	39326	168261
341	39442	168149
342	39566	168069
343	39676	167934
344	39779	167767
345	39897	167663
346	39998	167485
347	40116	167384
348	40243	167315
349	40375	167271
350	40526	167303
351	40669	167300
352	40828	167360
353	40980	167396
354	41118	167368
355	41229	167234
356	41368	167210
357	41493	167134
358	41591	166946
359	41723	166892
360	41834	166759
361	41959	166677
362	42079	166577
363	42176	166387
364	42281	166229
365	42387	166074
366	42524	166041
367	42657	165994
368	42801	165987
369	42910	165844
370	43017	165693
371	43154	165657
372	43292	165623
373	43406	165502
374	43518	165369
375	43624	165217
376	43749	165134
377	43861	165004
378	43962	164828
379	44074	164699
380	44200	164618
381	44326	164542
382	44432	164386
383	44558	164310
384	44693	164263
385	44833	164234
386	44961	164160
387	45090	164093
388	45234	164077
389	45370	164033
390	45479	163887
391	45594	163767
392	45701	163617
393	45813	163486
394	45908	163295
395	46001	163096
396	46121	162993
397	46237	162876
398	46340	162715
399	46439	162536
400	46536	162354
401	46637	162187
402	46749	162058
403	46857	161912
404	46955	161736
405	47064	161597
406	47156	161396
407	47259	161237
408	47378	161132
409	47484	160982
410	47579	160796
411	47681	160634
412	47782	160471
413	47891	160333
414	47982	160134
415	48087	159982
416	48193	159837
417	48303	159702
418	48422	159598
419	48534	159470
420	48653	159364
421	48754	159201
422	48861	159060
423	48969	158920
424	49084	158804
425	49197	158680
426	49312	158560
427	49412	158398
428	49522	158264
429	49627	158116
430	49737	157982
431	49827	157788
432	49933	157640
433	50048	157526
434	50149	157364
435	50256	157223
436	50368	157099
437	50487	156993
438	50605	156889
439	50716	156758
440	50818	156602
441	50931	156482
442	51042	156354
443	51155	156230
444	51269	156112
445	51382	155990
446	51513	155923
447	51624	155795
448	51735	155666
449	51854	155563
450	51961	155422
451	52055	155244
452	52164	155111
453	52288	155022
454	52386	154858
455	52498	154731
456	52604	154591
457	52714	154459
458	52829	154344
459	52943	154226
460	53050	154088
461	53163	153966
462	53260	153799
463	53370	153669
464	53499	153594
465	53616	153485
466	53752	153431
467	53876	153341
468	53985	153209
469	54126	153166
470	54267	153123
471	54382	153009
472	54492	152878
473	54603	152752
474	54717	152632
475	54835	152525
476	54963	152445
477	55079	152333
478	55192	152212
479	55302	152080
480	55409	151944
481	55511	151792
482	55633	151695
483	55743	151565
484	55841	151405
485	55960	151300
486	56081	151199
487	56172	151021
488	56286	150904
489	56415	150824
490	56551	150766
491	56675	150675
492	56837	150682
493	56994	150678
494	57103	150546
495	57225	150448
496	57352	150361
497	57458	150223
498	57590	150151
499	57699	150018
500	57803	149873
501	57917	149753
502	58010	149582
503	58123	149461
504	58228	149319
505	58340	149193
506	58471	149120
507	58600	149040
508	58728	148955
509	58858	148878
510	58996	148819
511	59118	148721
512	59261	148672
513	59378	148561
514	59492	148441
515	59590	148284
516	59709	148177
517	59808	148021
518	59918	147891
519	60028	147761
520	60141	147641
521	60248	147505
522	60371	147407
523	60502	147330
524	60638	147265
525	60767	147182
526	60892	147089
527	60990	146932
528	61125	146861
529	61250	146769
530	61380	146688
531	61543	146686
532	61688	146640
533	61801	146517
534	61917	146401
535	62033	146287
536	62145	146163
537	62262	146050
538	62380	145940
539	62518	145877
540	62654	145808
541	62794	145749
542	62927	145671
543	63061	145597
544	63194	145520
545	63338	145468
546	63468	145386
547	63582	145264
548	63702	145158
549	63797	144993
550	63906	144861
551	64018	144737
552	64174	144711
553	64315	144650
554	64488	144663
555	64627	144597
556	64766	144532
557	64893	144439
558	65020	144348
559	65150	144262
560	65282	144180
561	65413	144095
562	65540	144002
563	65642	143854
564	65757	143734
565	65871	143614
566	65992	143506
567	66095	143363
568	66206	143235
569	66325	143123
570	66461	143049
571	66562	142900
572	66667	142758
573	66778	142631
574	66905	142538
575	67017	142411
576	67138	142305
577	67233	142143
578	67344	142016
579	67461	141901
580	67581	141793
581	67705	141692
582	67840	141615
583	67960	141507
584	68104	141448
585	68220	141329
586	68346	141234
587	68451	141092
588	68572	140986
589	68679	140850
590	68802	140747
591	68927	140649
592	69042	140529
593	69161	140418
594	69278	140303
595	69396	140189
596	69511	140070
597	69624	139948
598	69753	139855
599	69892	139785
600	70027	139704
601	70150	139602
602	70284	139519
603	70397	139395
604	70507	139266
605	70619	139140
606	70706	138967
607	70830	138865
608	70933	138722
609	71037	138581
610	71145	138447
611	71272	138352
612	71389	138238
613	71509	138126
614	71626	138011
615	71741	137893
616	71854	137769
617	71979	137668
618	72079	137521
619	72203	137419
620	72329	137321
621	72467	137245
622	72615	137188
623	72762	137128
624	72912	137074
625	73064	137024
626	73194	136933
627	73325	136843
628	73433	136709
629	73551	136596
630	73670	136483
631	73768	136331
632	73870	136187
633	73982	136062
634	74081	135914
635	74188	135778
636	74304	135660
637	74427	135556
638	74559	135467
639	74691	135378
640	74831	135303
641	74970	135226
642	75070	135079
643	75193	134974
644	75361	134949
645	75491	134856
646	75616	134753
647	75736	134641
648	75834	134492
649	75947	134367
650	76045	134218
651	76171	134117
652	76278	133983
653	76399	133874
654	76503	133735
655	76628	133633
656	76753	133529
657	76893	133452
658	77015	133346
659	77152	133263
660	77269	133146
661	77389	133035
662	77484	132880
663	77604	132769
664	77722	132653
665	77849	132553
666	77959	132425
667	78072	132302
668	78164	132143
669	78281	132027
670	78404	131920
671	78529	131817
672	78655	131716
673	78767	131590
674	78882	131470
675	79008	131368
676	79137	131272
677	79253	131153
678	79386	131062
679	79501	130944
680	79617	130824
681	79738	130715
682	79841	130575
683	79957	130457
684	80076	130344
685	80188	130218
686	80305	130101
687	80436	130007
688	80555	129893
689	80679	129788
690	80811	129696
691	80939	129597
692	81057	129481
693	81196	129398
694	81327	129305
